,0,1
477,2761971.3453891454,5992368.165849863
478,18002549.6319982,17171533.11097389
479,31628385.885561552,11009763.59816404
480,8468909.04467226,11309750.018329136
481,7322126.380034455,8887201.005101547
482,10164686.058724783,6308702.885009176
483,6594180.977232996,18757360.41809748
484,2238772.968852891,17193093.256266903
485,3335443.9279203042,13442034.13278185
486,24807335.924171295,4196271.51506856
487,2591124.253066463,5534819.94974156
488,17194244.042983025,13741975.983785437
489,4917277.394071849,2330237.9363018116
490,7917734.863366861,24045692.68007151
491,17639323.5433722,2081782.0090034823
492,4999668.0661637755,6832822.197849601
493,9305242.650668848,13011792.90416806
494,2120697.458168739,15841350.323623657
495,2366919.5885421857,16103708.357789861
496,2185967.9441247224,12797721.676981132
497,2101293.3999585533,13109393.453823721
498,16225878.676816937,8207521.867360381
499,19173430.885541063,35564613.56649404
500,2760465.197387746,16477342.617003327
501,4866499.786805615,20493974.455499854
502,2415253.1468476974,6073665.510850688
503,14037702.679246847,15606234.055710692
504,3941702.3653288293,2567370.172314275
505,23230476.975582816,9228215.266502552
506,10047724.279644875,2708574.3593428046
507,9239539.902602872,5960234.290789533
508,11669588.199000837,25653767.613043137
509,13317494.031304846,9821403.025605753
510,25293677.562852558,30427863.650181998
511,4050653.5260342006,7741122.279699513
512,18070916.96299095,12140488.018543595
513,36061844.84306478,2230600.4039585604
514,38674904.8383503,21068908.094358515
515,2751328.5612494457,2021668.4667082748
516,3872231.0817898805,15720529.600686181
517,4124534.798358325,12148365.818018945
518,5548390.8699457,35053075.14384165
519,3898756.046343533,13275956.44723716
520,30517472.854178507,9346099.130941976
521,29847853.448420495,15779691.779484665
522,13102297.880865367,11801794.82880575
523,5792982.204742871,5523849.9373697825
524,13255076.052243212,16577890.06338943
525,16346236.269526476,3505646.151724788
526,26895575.90038003,2051893.3268226339
527,2076426.3310117754,13431816.973371973
528,2246195.9528457243,20379475.721410673
529,2076015.932881773,2951024.7540912405
530,7909638.06006923,5797856.767662693
531,11369805.837722434,12211954.89586244
532,21317205.906176005,15079253.664911179
533,11757956.283664469,27915899.779648133
534,26154371.156822536,16428021.046629548
535,3029913.925568967,18812687.85835892
536,15976621.477014074,7548866.870102631
537,7696587.205318528,11727054.86674645
538,12941758.136127224,7390055.239005511
539,22522966.985188015,12388320.267831938
540,10007378.054647578,2262112.276719951
541,10112036.540692605,16052573.336467527
542,13121268.661971323,8633058.940079445
543,14512662.177889915,2301643.7539710137
544,2141132.578785744,27595548.82872875
545,19086156.310551956,11873381.975359408
546,2651173.258301171,11374943.067883423
547,14746511.903855229,18208189.99558629
548,2399590.196315309,34626425.88276222
549,6126303.752721434,31078984.257310472
550,31122107.55534698,14093355.929622006
551,14557855.91148281,10446031.57267747
552,10091659.938277762,36986135.683811024
553,6316276.405994114,11653485.66317004
554,12364784.425469823,10082348.41634486
555,11422380.567525038,13171961.575636068
556,12303164.528750587,7142849.094607207
557,33390900.60446553,12835279.091684833
558,2372665.2914015274,34279346.08884231
559,5483695.154986466,1799879.5547545804
560,8849598.838026032,27174363.27967403
561,4772316.850366962,2511331.352479673
562,16911462.168266647,10552435.63833108
563,4525208.009926735,13384831.809379943
564,5261736.548536118,16131635.325270394
565,1982976.1809772383,2070273.7227674602
566,5447162.370166439,3130511.8230749522
567,6004787.601613069,6310766.010357471
568,10383708.241073117,27755944.60473811
569,18707212.690224867,2095662.72320459
570,12240542.67037866,7376326.364645486
571,5573476.857902033,2524839.87409095
572,35428873.5319201,12174872.485039108
573,28833141.183498498,22315350.599486016
574,36646097.08676239,4561087.76311343
575,19643757.724654827,28687510.722189084
576,17727887.83614771,11935030.296532277
577,2482590.147478794,4301650.076653114
578,3785253.5076837246,9240097.656144865
579,4605251.556676825,18245333.03250263
580,15986097.678170461,11612913.381900288
581,9374933.7806491,3270522.8001303347
582,34750228.78295616,2600929.444216966
583,14476471.588619813,14784072.54157276
584,21282531.272833645,14876801.823050158
585,2063089.7199331662,9374523.197203062
586,24995305.140555274,11577170.512495415
587,7036476.736751828,2854037.392084222
588,6990345.035372002,3030096.188663704
589,16869529.002468023,13541886.917735822
590,7287449.239213498,14070416.471342701
591,14160114.07460641,2149554.1734840106
592,8576538.35687389,17176771.806865178
593,20041391.93656217,15204592.95410924
594,41152162.38832096,15038859.719796322
595,2056748.1403775832,2872795.736779211
596,26729489.032811232,8912806.783028822
597,3440498.652512589,12944480.337487204
598,4581599.899434481,9622531.53587498
599,11816879.58829911,2131635.4444974763
600,2223797.908470987,10830943.973224496
601,15727449.6953606,2170493.9285068903
602,17127592.680487987,12077869.585978318
603,4103412.734387964,15301895.61544022
604,6041388.604552797,12618950.857937114
605,7922730.349074782,2270603.1393869915
606,6703364.969987729,16914228.601364203
607,6733499.717174787,15921271.617928926
608,2204070.5456643016,12038349.822687017
609,13417125.245375585,38274900.54593182
610,13230681.19930669,29083519.780962404
611,16791296.667229436,9725660.265894389
612,3874467.7856835355,6017496.252411445
613,17946210.409448,8489433.3612715
614,2114234.992598852,2000424.1889755044
615,36283786.76715432,21238590.807302963
616,2105808.470145967,16700591.814357549
617,6701909.230020816,18400420.87850834
618,15313434.62186548,30548682.045144964
619,9984921.513256392,8434502.98059122
620,29182616.99605389,11304425.373176387
621,26742163.96023048,3720101.2240977446
622,15784013.641031725,12678228.340041801
623,7779789.00073335,2059248.4417084306
624,2621379.70148993,29960189.683789004
625,2988970.2415501773,15252118.516474605
626,8762118.605487598,1808493.0747759307
627,8016563.389181001,15502207.237248402
628,13841035.213301234,14960231.308721254
629,37512601.78915084,8975237.252718698
630,17024433.876281213,3527373.4009767515
631,2187313.801932366,7272691.875089841
632,18666396.1088441,14422585.991694458
633,21049463.196849294,7158086.277423784
634,1993448.8333065074,7652342.51337967
635,2208542.662923208,2988750.258469091
636,4222907.839836142,11172922.003433611
637,4698606.180639636,2735119.444317967
638,15064003.145128297,2352351.4047602196
639,17942314.89631052,3283699.670027486
640,2194524.022081527,31393388.728244577
641,3592047.8001923566,4239466.512135539
642,5056504.93943918,31656382.257595222
643,14764240.0010375,1986146.494544791
644,5937083.777034095,24079514.072241597
645,14191517.765169628,8647347.111958245
646,3923637.4011073555,2559899.01763679
647,25441873.645516064,3788160.361525462
648,2907236.112909494,2083308.7338444996
649,3528780.7927854513,7598643.2330555
650,5428352.5030055,3797013.412794175
651,2397323.1611128254,8570360.33142571
652,16050888.279471477,19204170.755970318
653,12764180.931687614,2206272.5714053703
654,4492721.99081485,16029665.609435337
655,25727475.757125672,9716812.983035114
656,2331298.37795851,26636522.459105663
657,4155818.602138593,20648404.908656757
658,3148385.7804264585,14273571.63277609
659,13909809.420482256,8236519.6829848
660,4876791.859713748,8596240.752611762
661,4068828.467711328,7445086.351329825
662,2668816.7037402214,4981715.843382425
663,11918554.625576586,10570952.517457297
664,36833345.37125679,13235754.18275929
665,1763393.509031251,11961746.385001896
666,15486134.299844695,6149373.934122945
667,13824673.962722886,9715602.309212076
668,14264228.754428191,17198321.15552379
669,3769559.331559488,5304935.82021708
670,3007932.2442862196,13565488.708144756
671,15416952.869582953,26876614.225664753
672,133466807.55433942,123247991.20106265
673,1981301.4664936564,2506027.9670890323
674,6680939.804305899,10895881.766224544
675,11673232.86960352,2012678.3194400114
676,4512754.512982409,30673077.630438298
677,10477445.682664443,3722501.1166191828
678,2776898.8171405103,13519591.586739814
679,21467710.015918773,30852961.404812206
680,3669112.8506192216,14361667.068096101
681,1972834.7589578822,4472885.745288277
682,14690135.490610145,35059675.67369315
683,4454313.862411961,13889564.055007583
684,18654563.20800136,8013037.502484806
685,1842253.7483756435,7602460.158621506
686,4887550.915313088,16562036.78478086
687,3293391.7519058855,3678527.436513759
688,11257953.90911206,33044028.459767196
689,15689192.564697372,2714798.0031175273
690,8632634.0362664,2892157.021189083
691,9374109.282707306,17188431.173018772
692,22832075.63294583,7130525.516361185
693,2946210.846380547,4134660.0952451257
694,9239153.537170062,10564290.211059425
695,12260844.368181715,4786777.542159445
696,14016884.86479687,8668927.32149086
697,2048978.9622908996,9798299.733537927
698,8815856.740521831,4965044.5369312465
699,4089385.3427150673,2052902.8367722544
700,10336627.542987237,2800933.8886889373
701,10145644.174745332,21696613.891941443
702,2760867.110280826,39171374.19489703
703,85415151.43517746,102059423.23887518
704,134131510.61571446,109511294.78576985
705,2299011.0537019484,6557676.712219912
706,23276556.950380083,10789038.598674176
707,2064173.8188864405,10373375.897215847
708,24040886.572459724,2812298.260591604
709,19295091.52727067,2820520.2526428346
710,1925711.5573044033,12756806.60915984
711,29415264.226408936,21956110.884886477
712,12342829.180911941,13660638.599426152
713,6051504.4618722815,28030051.56759882
714,4021275.1347549525,9887641.314545153
715,9891653.499981398,2212174.321954709
716,3541152.7923480063,2236684.355099913
